===1===

ἑκατόμβη ἑκατόμβης ἑκατόμβῃ ἑκατόμβην    ἑκατόμβαι ἑκατομβάων ἑκατόμβῃσι  ἑκατόμβα_ς
εὐνή εὐνῆς εὐνῇ εὐνήν                    εὐναί εὐνάων εὐναῖς εὐνά_ς
κλισίη κλισίης κλισίῃ κλισίην            κλισίαι κλισιάων κλισίῃσι  κλισία_ς
κορύνη κορύνης κορύνῃ κορύνην            κορύναι κορυνάων κορύναις κορύνα_ς
κώπη κώπης κώπῃ κώπην                    κῶπαι κωπάων κώπαις κώπα_ς
σπονδή σπονδῆς σπονδῇ σπονδήν            σπονδαί σπονδάων σπονδαῖς σπονδά_ς
φαρέτρη φαρέτρης φαρέτρῃ φαρέτρην        φαρέτραι φαρετράων φαρέτρῃσι φαρέτρα_ς

λύρα_ λύρα_ς λύρᾳ λύρα_ν       λύραι λυράων  λύραις λύρα_ς

στεῖρα στείρης στείρῃ στεῖραν    στεῖραι στειράων στείρῃσι στείρα_ς
σφαῖρα σφαίρης σφαίρῃ σφαῖραν    σφαῖραι σφαιράων σφαίρῃσι σφαίρα_ς

===2===

δίσκος δίσκου δίσκῳ δίσκον       δίσκοι δίσκων δίσκοιςι δίσκους
ἱστός ἱστοῦ ἱστῷ ἱστόν           ἱστοί ἱστῶν ἱστοῖςι ἱστούς
μίτος  μίτου μίτῳ μίτον          μίτοι μίτων μίτοιςι μίτους
ὀϊστός ὀϊστοῦ ὀϊστῷ ὀϊστόν       ὀϊστοί ὀϊστῶν  ὀϊστοῖςι ὀϊστούς
πέπλος πέπλου πέπλῳ πέπλον       πέπλοι πέπλων πέπλοιςι πέπλους
τάλαρος ταλάρου ταλάρῳ τάλαρον   τάλαροι ταλάρων ταλάροιςι ταλάρους
τροχός τροχοῦ τροχῷ τροχόν       τροχοί τροχῶν τροχοῖςι τροχούς
χαλι_νός χαλι_νοῦ χαλι_νῷ χαλι_νόν    χαλι_νοί χαλι_νῶν χαλι_νοῖςι χαλι_νούς

--neuter--
ἱστίον  ἱστίου ἱστίῳ ἱστίον          ἱστία ἱστίων ἱστίοιςι ἱστία
κῆλον κήλου  κήλῳ κῆλον              κῆλα κήλων κήλοιςι κῆλα
πηδάλιον πηδαλίου πηδαλίῳ πηδάλιον   πηδάλια πηδαλίων πηδαλίοιςι πηδάλια
πηνίον  πηνίου πηνίῳ πηνίον          πηνία πηνίων πηνίοιςι πηνία
σκῆπτρον  σκήπτρου σκήπτρῳ σκῆπτρον    σκῆπτρα σκήπτρων σκήπτροιςι σκῆπτρα
τόξον τόξου τόξῳ τόξον                 τόξα τόξων τόξοιςι τόξα
φάσγανον φασγάνου φασγάνῳ φάσγανον   φάσγανα φασγάνων φασγάνοιςι φάσγανα

ἀσάμινθος ἀσαμίνθου ἀσαμίνθῳ ἀσάμινθον    ἀσάμινθοι ἀσαμίνθων ἀσαμίνθοιςι ἀσαμίνθους


==3==
νηῦς νηός νηΐ νῆα    νῆες νηῶν νηυσί νῆας




